search_id,catalog_slug,status,http_status,record_count,total_count,duration_ms,json_path,markdown_path,raw_path
AHRQ-0005,ahrq,succeeded,200,0,,610,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0005_insurance-coverage\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0005_insurance-coverage\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0005_insurance-coverage\raw\page_0001.html
AHRQ-0006,ahrq,succeeded,200,0,,1002,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0006_out-of-pocket-healthcare-cost\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0006_out-of-pocket-healthcare-cost\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0006_out-of-pocket-healthcare-cost\raw\page_0001.html
AHRQ-0007,ahrq,succeeded,200,0,,640,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0007_community-provider-availability\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0007_community-provider-availability\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0007_community-provider-availability\raw\page_0001.html
AHRQ-0008,ahrq,succeeded,200,0,,661,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0008_travel-time-healthcare\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0008_travel-time-healthcare\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0008_travel-time-healthcare\raw\page_0001.html
AHRQ-0009,ahrq,succeeded,200,0,,929,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0009_healthcare-quality-rural-communities\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0009_healthcare-quality-rural-communities\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0009_healthcare-quality-rural-communities\raw\page_0001.html
AHRQ-0010,ahrq,succeeded,200,0,,887,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0010_community-level-health-database\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0010_community-level-health-database\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0010_community-level-health-database\raw\page_0001.html
CDCC-0001,data_cdc_gov,succeeded,200,9,,671,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0001_lyme-disease\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0001_lyme-disease\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0001_lyme-disease\raw\page_0001.json
CDCC-0002,data_cdc_gov,succeeded,200,0,,539,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0002_lyme-borreliosis\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0002_lyme-borreliosis\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0002_lyme-borreliosis\raw\page_0001.json
CDCC-0003,data_cdc_gov,succeeded,200,0,,528,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0003_borrelia-burgdorferi\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0003_borrelia-burgdorferi\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0003_borrelia-burgdorferi\raw\page_0001.json
CDCC-0004,data_cdc_gov,succeeded,200,0,,499,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0004_borrelia-mayonii\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0004_borrelia-mayonii\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0004_borrelia-mayonii\raw\page_0001.json
CDCC-0005,data_cdc_gov,succeeded,200,0,,504,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0005_borrelia-miyamotoi\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0005_borrelia-miyamotoi\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0005_borrelia-miyamotoi\raw\page_0001.json
CDCC-0006,data_cdc_gov,succeeded,200,0,,457,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0006_tickborne-disease\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0006_tickborne-disease\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0006_tickborne-disease\raw\page_0001.json
CDCC-0007,data_cdc_gov,succeeded,200,0,,499,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0007_blacklegged-tick\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0007_blacklegged-tick\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0007_blacklegged-tick\raw\page_0001.json
CDCC-0008,data_cdc_gov,succeeded,200,0,,486,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0008_ixodes-scapularis\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0008_ixodes-scapularis\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0008_ixodes-scapularis\raw\page_0001.json
CDCC-0009,data_cdc_gov,succeeded,200,0,,506,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0009_ixodes-pacificus\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0009_ixodes-pacificus\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0009_ixodes-pacificus\raw\page_0001.json
CDCC-0010,data_cdc_gov,succeeded,200,3,,613,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0010_erythema-migrans\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0010_erythema-migrans\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0010_erythema-migrans\raw\page_0001.json
CDCC-0011,data_cdc_gov,succeeded,200,0,,500,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0011_neuroborreliosis\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0011_neuroborreliosis\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0011_neuroborreliosis\raw\page_0001.json
CDCC-0012,data_cdc_gov,succeeded,200,3,,579,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0012_lyme-arthritis\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0012_lyme-arthritis\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0012_lyme-arthritis\raw\page_0001.json
CDCC-0013,data_cdc_gov,succeeded,200,0,,474,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0013_lyme-babesiosis-coinfection\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0013_lyme-babesiosis-coinfection\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0013_lyme-babesiosis-coinfection\raw\page_0001.json
CDCC-0014,data_cdc_gov,succeeded,200,0,,461,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0014_lyme-anaplasmosis-coinfection\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0014_lyme-anaplasmosis-coinfection\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0014_lyme-anaplasmosis-coinfection\raw\page_0001.json
CDCC-0015,data_cdc_gov,succeeded,200,0,,501,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0015_lyme-ehrlichiosis-coinfection\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0015_lyme-ehrlichiosis-coinfection\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0015_lyme-ehrlichiosis-coinfection\raw\page_0001.json
CDCC-0016,data_cdc_gov,succeeded,200,0,,484,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0016_lyme-powassan-coinfection\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0016_lyme-powassan-coinfection\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0016_lyme-powassan-coinfection\raw\page_0001.json
CDCC-0017,data_cdc_gov,succeeded,200,0,,469,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0017_babesia-microti\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0017_babesia-microti\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0017_babesia-microti\raw\page_0001.json
CDCC-0018,data_cdc_gov,succeeded,200,10,,790,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0018_anaplasma-phagocytophilum\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0018_anaplasma-phagocytophilum\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0018_anaplasma-phagocytophilum\raw\page_0001.json
CDCC-0019,data_cdc_gov,succeeded,200,9,,697,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0019_lyme-disease-surveillance\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0019_lyme-disease-surveillance\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0019_lyme-disease-surveillance\raw\page_0001.json
CDCC-0020,data_cdc_gov,succeeded,200,8,,700,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0020_lyme-disease-incidence\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0020_lyme-disease-incidence\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0020_lyme-disease-incidence\raw\page_0001.json
CDCC-0021,data_cdc_gov,succeeded,200,100,,1118,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0021_lyme-disease-case-counts\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0021_lyme-disease-case-counts\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0021_lyme-disease-case-counts\raw\page_0001.json
CDCC-0022,data_cdc_gov,succeeded,200,0,,495,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0022_lyme-disease-underreporting\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0022_lyme-disease-underreporting\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0022_lyme-disease-underreporting\raw\page_0001.json
CDCC-0023,data_cdc_gov,succeeded,200,100,,1206,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0023_lyme-disease-case-definition\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0023_lyme-disease-case-definition\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0023_lyme-disease-case-definition\raw\page_0001.json
CDCC-0024,data_cdc_gov,succeeded,200,9,,723,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0024_notifiable-disease-lyme\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0024_notifiable-disease-lyme\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0024_notifiable-disease-lyme\raw\page_0001.json
CDCC-0025,data_cdc_gov,succeeded,200,0,,481,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0025_tickborne-disease-surveillance\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0025_tickborne-disease-surveillance\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\data_cdc_gov\CDCC-0025_tickborne-disease-surveillance\raw\page_0001.json
CDCL-0001,cdc_lyme_84rx-ksgd,succeeded,200,1,,692,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0001_schema-discovery\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0001_schema-discovery\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0001_schema-discovery\raw\page_0001.json
CDCL-0002,cdc_lyme_84rx-ksgd,succeeded,200,0,,1253,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0002_full-csv-download\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0002_full-csv-download\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0002_full-csv-download\raw\page_0001.csv
CDCL-0003,cdc_lyme_84rx-ksgd,succeeded,200,100,1000,917,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0003_json-page-sample\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0003_json-page-sample\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0003_json-page-sample\raw\page_0001.json
CDCL-0004,cdc_lyme_84rx-ksgd,succeeded,200,100,1000,906,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0004_distinct-geography-values\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0004_distinct-geography-values\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0004_distinct-geography-values\raw\page_0001.json
CDCL-0005,cdc_lyme_84rx-ksgd,succeeded,200,100,1000,912,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0005_distinct-time-values\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0005_distinct-time-values\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0005_distinct-time-values\raw\page_0001.json
CDCL-0006,cdc_lyme_84rx-ksgd,succeeded,200,100,1000,1891,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0006_null-profile\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0006_null-profile\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_84rx-ksgd\CDCL-0006_null-profile\raw\page_0001.json
CDCL-0007,cdc_lyme_qtbi-xd4i,succeeded,200,1,,644,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0007_schema-discovery\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0007_schema-discovery\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0007_schema-discovery\raw\page_0001.json
CDCL-0008,cdc_lyme_qtbi-xd4i,succeeded,200,0,,3391,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0008_full-csv-download\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0008_full-csv-download\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0008_full-csv-download\raw\page_0001.csv
CDCL-0009,cdc_lyme_qtbi-xd4i,succeeded,200,100,1000,865,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0009_json-page-sample\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0009_json-page-sample\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0009_json-page-sample\raw\page_0001.json
CDCL-0010,cdc_lyme_qtbi-xd4i,succeeded,200,100,1000,862,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0010_distinct-geography-values\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0010_distinct-geography-values\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0010_distinct-geography-values\raw\page_0001.json
CDCL-0011,cdc_lyme_qtbi-xd4i,succeeded,200,100,1000,872,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0011_distinct-time-values\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0011_distinct-time-values\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0011_distinct-time-values\raw\page_0001.json
CDCL-0012,cdc_lyme_qtbi-xd4i,succeeded,200,100,1000,965,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0012_null-profile\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0012_null-profile\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_qtbi-xd4i\CDCL-0012_null-profile\raw\page_0001.json
CDCL-0013,cdc_lyme_x5j9-wybp,succeeded,200,1,,863,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_x5j9-wybp\CDCL-0013_schema-discovery\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_x5j9-wybp\CDCL-0013_schema-discovery\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_x5j9-wybp\CDCL-0013_schema-discovery\raw\page_0001.json
CDCL-0014,cdc_lyme_x5j9-wybp,succeeded,200,0,,1156,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_x5j9-wybp\CDCL-0014_full-csv-download\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_x5j9-wybp\CDCL-0014_full-csv-download\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\cdc_lyme_x5j9-wybp\CDCL-0014_full-csv-download\raw\page_0001.csv
