Year,State,FIPS,Case_status,Sex,Age_cat_yrs,Frequency
1992,CT,09011,Confirmed,Female,20+,156
1992,CT,09011,Confirmed,Female,Suppressed,1
1992,CT,09011,Confirmed,Suppressed,0-19,1
1992,CT,09013,Confirmed,Male,0-19,19
1992,CT,09013,Confirmed,Male,20+,30
1992,CT,09013,Confirmed,Male,Suppressed,1
1992,CT,09013,Confirmed,Female,0-19,20
1992,CT,09013,Confirmed,Female,20+,22
1992,CT,09013,Confirmed,Female,Suppressed,3
1992,CT,09015,Confirmed,Male,0-19,13
1992,CT,09015,Confirmed,Male,20+,27
1992,CT,09015,Confirmed,Male,Suppressed,3
1992,CT,09015,Confirmed,Female,0-19,8
1992,CT,09015,Confirmed,Female,20+,19
1992,CT,09015,Confirmed,Suppressed,Suppressed,1
1992,CT,Unknown,Confirmed,Male,0-19,13
1992,CT,Unknown,Confirmed,Male,20+,32
1992,CT,Unknown,Confirmed,Male,Suppressed,4
1992,CT,Unknown,Confirmed,Female,0-19,7
1992,CT,Unknown,Confirmed,Female,20+,23
1992,CT,Unknown,Confirmed,Female,Unknown,6
1992,DE,10001,Confirmed,Female,20+,6
1992,DE,10001,Confirmed,Female,Suppressed,4
1992,DE,10001,Confirmed,Suppressed,20+,2
1992,DE,10001,Confirmed,Suppressed,Suppressed,3
1992,DE,10003,Confirmed,Male,0-19,18
1992,DE,10003,Confirmed,Male,20+,64
1992,DE,10003,Confirmed,Female,0-19,8
1992,DE,10003,Confirmed,Female,20+,46
1992,DE,10003,Confirmed,Female,Suppressed,2
1992,DE,10005,Confirmed,Female,20+,5
1992,DE,10005,Confirmed,Female,Suppressed,1
1992,DE,10005,Confirmed,Suppressed,20+,3
1992,DE,10005,Confirmed,Suppressed,Suppressed,1
1992,DE,Unknown,Confirmed,Male,0-19,14
1992,DE,Unknown,Confirmed,Male,20+,20
1992,DE,Unknown,Confirmed,Female,20+,17
1992,DE,Unknown,Confirmed,Female,Suppressed,4
1992,DE,Unknown,Confirmed,Suppressed,0-19,1
1992,FL,Suppressed,Confirmed,Suppressed,20+,6
1992,FL,Suppressed,Confirmed,Suppressed,Suppressed,16
1992,GA,13185,Confirmed,Suppressed,Suppressed,9
1992,GA,Suppressed,Confirmed,Male,20+,10
1992,GA,Suppressed,Confirmed,Suppressed,Suppressed,29
1992,IA,Suppressed,Confirmed,Male,20+,11
1992,IA,Suppressed,Confirmed,Suppressed,Suppressed,22
1992,IL,Suppressed,Confirmed,Female,20+,13
1992,IL,Suppressed,Confirmed,Suppressed,Suppressed,28
1992,IN,Suppressed,Confirmed,Suppressed,Suppressed,22
1992,KS,Suppressed,Confirmed,Female,20+,11
1992,KS,Suppressed,Confirmed,Suppressed,Suppressed,5
1992,KY,21111,Confirmed,Suppressed,Suppressed,5
1992,KY,Suppressed,Confirmed,Female,20+,6
1992,KY,Suppressed,Confirmed,Suppressed,Suppressed,17
1992,LA,Suppressed,Confirmed,Suppressed,20+,7
1992,MA,25001,Confirmed,Male,0-19,6
1992,MA,25001,Confirmed,Male,20+,6
1992,MA,25001,Confirmed,Female,20+,12
1992,MA,25001,Confirmed,Female,Suppressed,3
1992,MA,25005,Confirmed,Male,20+,9
1992,MA,25005,Confirmed,Male,Suppressed,3
1992,MA,25005,Confirmed,Female,0-19,5
1992,MA,25005,Confirmed,Female,20+,7
1992,MA,25005,Confirmed,Female,Suppressed,1
1992,MA,25007,Confirmed,Male,20+,11
1992,MA,25007,Confirmed,Male,Suppressed,4
1992,MA,25007,Confirmed,Female,20+,8
1992,MA,25007,Confirmed,Female,Suppressed,2
1992,MA,25009,Confirmed,Female,20+,6
1992,MA,25009,Confirmed,Female,Suppressed,2
1992,MA,25009,Confirmed,Suppressed,20+,3
1992,MA,25009,Confirmed,Suppressed,Suppressed,1
1992,MA,25013,Confirmed,Suppressed,Suppressed,6
1992,MA,25015,Confirmed,Suppressed,Suppressed,7
1992,MA,25017,Confirmed,Male,0-19,5
1992,MA,25017,Confirmed,Male,20+,12
1992,MA,25017,Confirmed,Female,20+,8
1992,MA,25017,Confirmed,Female,Suppressed,3
1992,MA,25019,Confirmed,Male,20+,14
1992,MA,25019,Confirmed,Male,Suppressed,3
1992,MA,25019,Confirmed,Female,0-19,5
1992,MA,25019,Confirmed,Female,20+,13
1992,MA,25019,Confirmed,Female,Suppressed,2
1992,MA,25021,Confirmed,Suppressed,Suppressed,7
1992,MA,25023,Confirmed,Male,0-19,6
1992,MA,25023,Confirmed,Male,20+,6
1992,MA,25023,Confirmed,Male,Suppressed,1
1992,MA,25023,Confirmed,Female,0-19,5
1992,MA,25023,Confirmed,Female,20+,7
1992,MA,25023,Confirmed,Female,Suppressed,1
1992,MA,25025,Confirmed,Female,20+,7
1992,MA,25025,Confirmed,Suppressed,20+,1
1992,MA,25027,Confirmed,Male,20+,5
1992,MA,25027,Confirmed,Male,Suppressed,1
1992,MA,25027,Confirmed,Female,Suppressed,5
1992,MA,25027,Confirmed,Suppressed,Suppressed,1
1992,MA,Suppressed,Confirmed,Male,20+,2
1992,MA,Suppressed,Confirmed,Female,0-19,1
1992,MD,24003,Confirmed,Male,Suppressed,5
1992,MD,24003,Confirmed,Female,Suppressed,5
1992,MD,24005,Confirmed,Male,0-19,8
1992,MD,24005,Confirmed,Male,20+,19
1992,MD,24005,Confirmed,Suppressed,20+,3
1992,MD,24009,Confirmed,Suppressed,Suppressed,6
1992,MD,24011,Confirmed,Male,20+,7
1992,MD,24011,Confirmed,Male,Suppressed,1
1992,MD,24011,Confirmed,Female,20+,5
1992,MD,24011,Confirmed,Female,Suppressed,3
1992,MD,24015,Confirmed,Male,0-19,5
1992,MD,24015,Confirmed,Male,Suppressed,4
1992,MD,24015,Confirmed,Suppressed,Suppressed,3
1992,MD,24017,Confirmed,Male,20+,6
1992,MD,24017,Confirmed,Male,Suppressed,1
1992,MD,24017,Confirmed,Suppressed,Suppressed,2
1992,MD,24025,Confirmed,Male,20+,7
1992,MD,24025,Confirmed,Male,Suppressed,3
1992,MD,24025,Confirmed,Suppressed,20+,1
1992,MD,24025,Confirmed,Suppressed,Suppressed,1
1992,MD,24029,Confirmed,Male,20+,5
1992,MD,24029,Confirmed,Male,Suppressed,4
1992,MD,24029,Confirmed,Female,Suppressed,5
1992,MD,24031,Confirmed,Suppressed,Suppressed,7
1992,MD,24033,Confirmed,Suppressed,Suppressed,8
1992,MD,24035,Confirmed,Female,0-19,5
1992,MD,24035,Confirmed,Female,20+,5
1992,MD,24035,Confirmed,Suppressed,0-19,4
1992,MD,24035,Confirmed,Suppressed,Suppressed,2
1992,MD,24037,Confirmed,Suppressed,Suppressed,6
1992,MD,24039,Confirmed,Suppressed,Suppressed,5
1992,MD,24047,Confirmed,Suppressed,20+,5
1992,MD,24510,Confirmed,Male,Suppressed,5
1992,MD,Suppressed,Confirmed,Male,0-19,2
1992,MD,Suppressed,Confirmed,Female,20+,5
1992,MD,Suppressed,Confirmed,Suppressed,Suppressed,15
1992,ME,23031,Confirmed,Suppressed,20+,5
1992,ME,Suppressed,Confirmed,Suppressed,20+,8
1992,MI,26125,Confirmed,Suppressed,20+,5
1992,MI,Suppressed,Confirmed,Female,20+,9
1992,MI,Suppressed,Confirmed,Suppressed,20+,14
1992,MN,27001,Confirmed,Female,20+,6
1992,MN,27001,Confirmed,Female,Suppressed,1
1992,MN,27001,Confirmed,Suppressed,20+,4
1992,MN,27001,Confirmed,Suppressed,Suppressed,1
1992,MN,27003,Confirmed,Male,20+,6
1992,MN,27003,Confirmed,Male,Suppressed,4
1992,MN,27003,Confirmed,Suppressed,20+,3
1992,MN,27003,Confirmed,Suppressed,Suppressed,1
1992,MN,27025,Confirmed,Female,20+,5
1992,MN,27025,Confirmed,Female,Suppressed,1
1992,MN,27025,Confirmed,Suppressed,20+,3
1992,MN,27025,Confirmed,Suppressed,Suppressed,1
1992,MN,27035,Confirmed,Male,20+,6
1992,MN,27035,Confirmed,Male,Suppressed,1
1992,MN,27035,Confirmed,Suppressed,20+,2
1992,MN,27037,Confirmed,Female,Suppressed,6
1992,MN,27037,Confirmed,Suppressed,Suppressed,5
1992,MN,27053,Confirmed,Male,0-19,7
1992,MN,27053,Confirmed,Male,20+,17
1992,MN,27053,Confirmed,Female,20+,7
1992,MN,27053,Confirmed,Female,Suppressed,3
1992,MN,27065,Confirmed,Suppressed,20+,5
1992,MN,27115,Confirmed,Female,20+,6
1992,MN,27115,Confirmed,Female,Suppressed,2
1992,MN,27115,Confirmed,Suppressed,20+,3
1992,MN,27115,Confirmed,Suppressed,Suppressed,2
1992,MN,27123,Confirmed,Male,0-19,7
1992,MN,27123,Confirmed,Male,20+,13
1992,MN,27123,Confirmed,Suppressed,20+,4
1992,MN,27123,Confirmed,Suppressed,Suppressed,2
1992,MN,27163,Confirmed,Male,0-19,6
1992,MN,27163,Confirmed,Male,20+,7
1992,MN,27163,Confirmed,Suppressed,0-19,1
1992,MN,27163,Confirmed,Suppressed,Suppressed,3
1992,MN,Suppressed,Confirmed,Male,20+,7
1992,MN,Suppressed,Confirmed,Male,Suppressed,9
1992,MN,Suppressed,Confirmed,Suppressed,20+,26
1992,MN,Suppressed,Confirmed,Suppressed,Suppressed,4
1992,MO,29017,Confirmed,Suppressed,Suppressed,6
1992,MO,29031,Confirmed,Male,20+,8
1992,MO,29031,Confirmed,Male,Suppressed,1
1992,MO,29031,Confirmed,Female,20+,6
1992,MO,29031,Confirmed,Female,Suppressed,1
1992,MO,29051,Confirmed,Suppressed,Suppressed,5
1992,MO,29095,Confirmed,Male,20+,5
1992,MO,29095,Confirmed,Male,Suppressed,2
1992,MO,29095,Confirmed,Female,20+,12
1992,MO,29095,Confirmed,Female,Suppressed,3
1992,MO,29157,Confirmed,Male,20+,7
1992,MO,29157,Confirmed,Female,20+,6
1992,MO,29157,Confirmed,Female,Suppressed,3
1992,MO,29201,Confirmed,Male,20+,7
1992,MO,29201,Confirmed,Male,Suppressed,3
1992,MO,29201,Confirmed,Female,20+,11
1992,MO,29207,Confirmed,Male,Suppressed,5
1992,MO,29207,Confirmed,Female,20+,5
1992,MO,Suppressed,Confirmed,Male,0-19,6
1992,MO,Suppressed,Confirmed,Female,20+,6
1992,MO,Suppressed,Confirmed,Suppressed,Suppressed,42
1992,NC,37133,Confirmed,Male,20+,6
1992,NC,37133,Confirmed,Male,Suppressed,2
1992,NC,37133,Confirmed,Suppressed,Suppressed,2
1992,NC,37183,Confirmed,Female,20+,5
1992,NC,37183,Confirmed,Female,Suppressed,3
1992,NC,37183,Confirmed,Suppressed,20+,2
1992,NC,37183,Confirmed,Suppressed,Suppressed,1
1992,NC,Suppressed,Confirmed,Male,20+,11
1992,NC,Suppressed,Confirmed,Female,0-19,5
1992,NC,Suppressed,Confirmed,Suppressed,Suppressed,30
1992,NE,31109,Confirmed,Male,20+,6
1992,NE,31109,Confirmed,Male,Suppressed,4
1992,NE,31109,Confirmed,Female,20+,5
1992,NE,31109,Confirmed,Female,Suppressed,1
1992,NE,Suppressed,Confirmed,Female,20+,1
1992,NE,Suppressed,Confirmed,Female,Suppressed,1
1992,NE,Suppressed,Confirmed,Suppressed,20+,4
1992,NH,33011,Confirmed,Female,20+,13
1992,NH,33011,Confirmed,Suppressed,20+,3
1992,NH,33011,Confirmed,Suppressed,Suppressed,2
1992,NH,33015,Confirmed,Female,20+,5
1992,NH,33015,Confirmed,Female,Suppressed,1
1992,NH,33015,Confirmed,Suppressed,20+,1
1992,NH,33015,Confirmed,Suppressed,Suppressed,1
1992,NH,Suppressed,Confirmed,Female,Suppressed,6
1992,NH,Suppressed,Confirmed,Suppressed,20+,2
1992,NH,Suppressed,Confirmed,Suppressed,Suppressed,10
1992,NJ,34001,Confirmed,Male,20+,11
1992,NJ,34001,Confirmed,Male,Suppressed,4
1992,NJ,34001,Confirmed,Female,20+,11
1992,NJ,34001,Confirmed,Female,Suppressed,3
1992,NJ,34003,Confirmed,Male,20+,8
1992,NJ,34003,Confirmed,Male,Suppressed,4
1992,NJ,34003,Confirmed,Female,20+,8
1992,NJ,34003,Confirmed,Female,Suppressed,3
1992,NJ,34005,Confirmed,Male,0-19,7
1992,NJ,34005,Confirmed,Male,20+,9
1992,NJ,34005,Confirmed,Female,0-19,5
1992,NJ,34005,Confirmed,Female,20+,19
1992,NJ,34007,Confirmed,Male,20+,5
1992,NJ,34007,Confirmed,Female,Suppressed,5
1992,NJ,34007,Confirmed,Suppressed,20+,1
1992,NJ,34011,Confirmed,Female,20+,6
1992,NJ,34011,Confirmed,Female,Suppressed,1
1992,NJ,34011,Confirmed,Suppressed,20+,4
1992,NJ,34011,Confirmed,Suppressed,Suppressed,2
1992,NJ,34013,Confirmed,Suppressed,20+,6
1992,NJ,34015,Confirmed,Female,Suppressed,8
1992,NJ,34019,Confirmed,Male,0-19,8
1992,NJ,34019,Confirmed,Male,20+,32
1992,NJ,34019,Confirmed,Female,0-19,13
1992,NJ,34019,Confirmed,Female,20+,19
1992,NJ,34021,Confirmed,Male,0-19,7
1992,NJ,34021,Confirmed,Male,20+,10
1992,NJ,34021,Confirmed,Female,0-19,7
1992,NJ,34021,Confirmed,Female,20+,12
1992,NJ,34021,Confirmed,Suppressed,20+,1
1992,NJ,34023,Confirmed,Male,20+,9
1992,NJ,34023,Confirmed,Male,Suppressed,4
1992,NJ,34023,Confirmed,Female,20+,6
1992,NJ,34023,Confirmed,Female,Suppressed,4
1992,NJ,34025,Confirmed,Male,0-19,11
1992,NJ,34025,Confirmed,Male,20+,24
1992,NJ,34025,Confirmed,Female,0-19,14
1992,NJ,34025,Confirmed,Female,20+,30
1992,NJ,34025,Confirmed,Female,Suppressed,1
1992,NJ,34027,Confirmed,Male,0-19,20
1992,NJ,34027,Confirmed,Male,20+,35
1992,NJ,34027,Confirmed,Female,0-19,19
1992,NJ,34027,Confirmed,Female,20+,44
1992,NJ,34027,Confirmed,Female,Suppressed,1
1992,NJ,34029,Confirmed,Male,0-19,13
1992,NJ,34029,Confirmed,Male,20+,36
1992,NJ,34029,Confirmed,Female,0-19,15
1992,NJ,34029,Confirmed,Female,20+,27
1992,NJ,34029,Confirmed,Suppressed,20+,3
1992,NJ,34031,Confirmed,Female,20+,5
1992,NJ,34031,Confirmed,Suppressed,20+,1
1992,NJ,34033,Confirmed,Male,20+,5
1992,NJ,34033,Confirmed,Male,Suppressed,2
1992,NJ,34033,Confirmed,Suppressed,20+,3
1992,NJ,34033,Confirmed,Suppressed,Suppressed,2
1992,NJ,34035,Confirmed,Male,0-19,16
1992,NJ,34035,Confirmed,Male,20+,27
1992,NJ,34035,Confirmed,Male,Suppressed,1
1992,NJ,34035,Confirmed,Female,0-19,9
1992,NJ,34035,Confirmed,Female,20+,19
1992,NJ,34039,Confirmed,Male,20+,8
1992,NJ,34039,Confirmed,Male,Suppressed,4
1992,NJ,34039,Confirmed,Suppressed,20+,2
1992,NJ,34039,Confirmed,Suppressed,Suppressed,1
1992,NJ,Suppressed,Confirmed,Female,20+,7
1992,NJ,Suppressed,Confirmed,Female,Suppressed,5
1992,NJ,Suppressed,Confirmed,Suppressed,20+,12
1992,NJ,Suppressed,Confirmed,Suppressed,Suppressed,4
1992,NY,36001,Confirmed,Male,20+,7
1992,NY,36001,Confirmed,Male,Suppressed,1
1992,NY,36001,Confirmed,Female,20+,5
1992,NY,36003,Confirmed,Male,20+,5
1992,NY,36003,Confirmed,Male,Suppressed,1
1992,NY,36003,Confirmed,Female,Suppressed,8
1992,NY,36005,Confirmed,Female,20+,8
1992,NY,36005,Confirmed,Female,Suppressed,1
1992,NY,36005,Confirmed,Suppressed,Suppressed,3
1992,NY,36007,Confirmed,Suppressed,Suppressed,5
1992,NY,36009,Confirmed,Suppressed,Suppressed,6
1992,NY,36021,Confirmed,Male,20+,5
1992,NY,36021,Confirmed,Male,Suppressed,3
1992,NY,36021,Confirmed,Female,20+,9
1992,NY,36027,Confirmed,Male,0-19,74
1992,NY,36027,Confirmed,Male,20+,201
1992,NY,36027,Confirmed,Male,Suppressed,1
1992,NY,36027,Confirmed,Female,0-19,73
1992,NY,36027,Confirmed,Female,20+,239
1992,NY,36027,Confirmed,Female,Suppressed,2
1992,NY,36029,Confirmed,Male,20+,7
1992,NY,36029,Confirmed,Male,Suppressed,1
1992,NY,36029,Confirmed,Female,0-19,6
1992,NY,36029,Confirmed,Female,20+,16
1992,NY,36033,Confirmed,Male,Suppressed,5
1992,NY,36039,Confirmed,Suppressed,Suppressed,8
1992,NY,36047,Confirmed,Male,0-19,7
1992,NY,36047,Confirmed,Male,Suppressed,4
1992,NY,36047,Confirmed,Female,20+,8
1992,NY,36055,Confirmed,Suppressed,Suppressed,6
1992,NY,36059,Confirmed,Male,0-19,7
1992,NY,36059,Confirmed,Male,20+,36
1992,NY,36059,Confirmed,Female,0-19,10
1992,NY,36059,Confirmed,Female,20+,29
1992,NY,36059,Confirmed,Female,Suppressed,1
1992,NY,36061,Confirmed,Male,20+,27
1992,NY,36061,Confirmed,Male,Suppressed,3
1992,NY,36061,Confirmed,Female,20+,24
1992,NY,36061,Confirmed,Female,Suppressed,2
1992,NY,36069,Confirmed,Suppressed,Suppressed,5
1992,NY,36071,Confirmed,Male,0-19,20
1992,NY,36071,Confirmed,Male,20+,48
1992,NY,36071,Confirmed,Female,0-19,21
1992,NY,36071,Confirmed,Female,20+,82
1992,NY,36079,Confirmed,Male,0-19,34
1992,NY,36079,Confirmed,Male,20+,79
1992,NY,36079,Confirmed,Female,0-19,17
1992,NY,36079,Confirmed,Female,20+,74
1992,NY,36079,Confirmed,Female,Suppressed,1
1992,NY,36081,Confirmed,Female,20+,6
1992,NY,36081,Confirmed,Female,Suppressed,1
1992,NY,36081,Confirmed,Suppressed,Suppressed,3
1992,NY,36083,Confirmed,Female,20+,6
1992,NY,36083,Confirmed,Suppressed,Suppressed,3
1992,NY,36085,Confirmed,Suppressed,Suppressed,6
1992,NY,36087,Confirmed,Male,0-19,9
1992,NY,36087,Confirmed,Male,20+,13
1992,NY,36087,Confirmed,Male,Suppressed,1
1992,NY,36087,Confirmed,Female,0-19,7
1992,NY,36087,Confirmed,Female,20+,37
1992,NY,36087,Confirmed,Female,Suppressed,1
1992,NY,36091,Confirmed,Male,20+,5
1992,NY,36091,Confirmed,Male,Suppressed,3
1992,NY,36091,Confirmed,Suppressed,20+,4
1992,NY,36091,Confirmed,Suppressed,Suppressed,1
1992,NY,36093,Confirmed,Suppressed,Suppressed,5
1992,NY,36101,Confirmed,Suppressed,Suppressed,5
1992,NY,36103,Confirmed,Male,0-19,61
1992,NY,36103,Confirmed,Male,20+,232
1992,NY,36103,Confirmed,Female,0-19,67
1992,NY,36103,Confirmed,Female,20+,294
1992,NY,36105,Confirmed,Male,20+,8
1992,NY,36105,Confirmed,Female,20+,20
1992,NY,36105,Confirmed,Female,Suppressed,1
1992,NY,36109,Confirmed,Suppressed,Suppressed,8
1992,NY,36111,Confirmed,Male,0-19,11
1992,NY,36111,Confirmed,Male,20+,65
1992,NY,36111,Confirmed,Female,0-19,17
1992,NY,36111,Confirmed,Female,20+,86
1992,NY,36111,Confirmed,Female,Suppressed,1
1992,NY,36119,Confirmed,Male,0-19,146
1992,NY,36119,Confirmed,Male,20+,442
1992,NY,36119,Confirmed,Male,Unknown,19
1992,NY,36119,Confirmed,Female,0-19,109
1992,NY,36119,Confirmed,Female,20+,416
1992,NY,36119,Confirmed,Female,Unknown,20
1992,NY,36119,Confirmed,Suppressed,0-19,1
1992,NY,36119,Confirmed,Suppressed,Suppressed,1
1992,NY,Suppressed,Confirmed,Male,0-19,2
1992,NY,Suppressed,Confirmed,Female,20+,12
1992,NY,Suppressed,Confirmed,Suppressed,Suppressed,48
1992,OH,Suppressed,Confirmed,Male,0-19,5
1992,OH,Suppressed,Confirmed,Female,20+,9
1992,OH,Suppressed,Confirmed,Suppressed,Suppressed,18
1992,OK,Suppressed,Confirmed,Female,20+,13
1992,OK,Suppressed,Confirmed,Suppressed,Suppressed,13
1992,OR,41  .,Confirmed,Unknown,Unknown,13
1992,PA,42  .,Confirmed,Unknown,Unknown,1173
1992,RI,44003,Confirmed,Male,0-19,7
1992,RI,44003,Confirmed,Male,20+,11
1992,RI,44003,Confirmed,Male,Suppressed,2
1992,RI,44003,Confirmed,Female,0-19,5
1992,RI,44003,Confirmed,Female,20+,14
1992,RI,44005,Confirmed,Female,20+,9
1992,RI,44005,Confirmed,Female,Suppressed,2
1992,RI,44005,Confirmed,Suppressed,20+,3
1992,RI,44007,Confirmed,Male,20+,10
1992,RI,44007,Confirmed,Male,Suppressed,3
1992,RI,44007,Confirmed,Female,20+,7
1992,RI,44007,Confirmed,Female,Suppressed,4
1992,RI,44009,Confirmed,Male,0-19,17
1992,RI,44009,Confirmed,Male,20+,81
1992,RI,44009,Confirmed,Male,Unknown,5
1992,RI,44009,Confirmed,Female,0-19,10
1992,RI,44009,Confirmed,Female,20+,64
1992,RI,44009,Confirmed,Female,Suppressed,3
1992,RI,Unknown,Confirmed,Male,Suppressed,5
1992,RI,Unknown,Confirmed,Female,Suppressed,7
1992,RI,Suppressed,Confirmed,Female,20+,4
1992,RI,Suppressed,Confirmed,Suppressed,20+,1
1992,RI,Suppressed,Confirmed,Suppressed,Suppressed,1
1992,Suppressed,Suppressed,Confirmed,Female,Suppressed,13
1992,Suppressed,Suppressed,Confirmed,Suppressed,20+,20
1992,Suppressed,Suppressed,Confirmed,Suppressed,Suppressed,17
1992,TN,47157,Confirmed,Female,Suppressed,5
1992,TN,Suppressed,Confirmed,Male,0-19,7
1992,TN,Suppressed,Confirmed,Female,20+,9
1992,TN,Suppressed,Confirmed,Suppressed,Suppressed,10
1992,TX,48113,Confirmed,Male,20+,7
1992,TX,48113,Confirmed,Male,Suppressed,3
1992,TX,48113,Confirmed,Female,20+,11
1992,TX,48113,Confirmed,Female,Suppressed,1
1992,TX,48201,Confirmed,Female,20+,5
1992,TX,48201,Confirmed,Suppressed,Suppressed,2
1992,TX,48439,Confirmed,Female,20+,5
1992,TX,48439,Confirmed,Suppressed,Suppressed,4
1992,TX,48453,Confirmed,Suppressed,Suppressed,5
1992,TX,Suppressed,Confirmed,Male,Suppressed,4
1992,TX,Suppressed,Confirmed,Female,20+,25
1992,TX,Suppressed,Confirmed,Suppressed,Suppressed,41
1992,VA,51001,Confirmed,Female,20+,7
1992,VA,51001,Confirmed,Suppressed,Suppressed,4
1992,VA,51019,Confirmed,Suppressed,Suppressed,6
1992,VA,51059,Confirmed,Male,Suppressed,5
1992,VA,51059,Confirmed,Female,20+,6
1992,VA,51059,Confirmed,Female,Suppressed,4
1992,VA,51063,Confirmed,Female,20+,10
1992,VA,51063,Confirmed,Suppressed,Suppressed,1
1992,VA,51153,Confirmed,Male,20+,13
1992,VA,51153,Confirmed,Male,Suppressed,3
1992,VA,51153,Confirmed,Suppressed,20+,2
1992,VA,Suppressed,Confirmed,Male,Suppressed,1
1992,VA,Suppressed,Confirmed,Female,20+,17
1992,VA,Suppressed,Confirmed,Suppressed,20+,7
1992,VA,Suppressed,Confirmed,Suppressed,Suppressed,37
1992,VT,Suppressed,Confirmed,Suppressed,Suppressed,5
1992,WA,Suppressed,Confirmed,Female,20+,5
1992,WA,Suppressed,Confirmed,Female,Suppressed,6
1992,WI,55005,Confirmed,Male,20+,9
1992,WI,55005,Confirmed,Male,Suppressed,3
1992,WI,55005,Confirmed,Female,20+,6
1992,WI,55007,Confirmed,Male,Suppressed,5
1992,WI,55009,Confirmed,Suppressed,Suppressed,6
1992,WI,55011,Confirmed,Male,20+,5
1992,WI,55011,Confirmed,Male,Suppressed,2
1992,WI,55011,Confirmed,Suppressed,Suppressed,4
1992,WI,55013,Confirmed,Male,20+,15
1992,WI,55013,Confirmed,Male,Suppressed,3
1992,WI,55013,Confirmed,Female,20+,6
1992,WI,55013,Confirmed,Female,Suppressed,4
1992,WI,55017,Confirmed,Male,Suppressed,6
1992,WI,55019,Confirmed,Male,20+,11
1992,WI,55019,Confirmed,Male,Suppressed,2
1992,WI,55019,Confirmed,Suppressed,Suppressed,4
1992,WI,55021,Confirmed,Male,20+,7
1992,WI,55021,Confirmed,Suppressed,Suppressed,2
1992,WI,55025,Confirmed,Male,20+,13
1992,WI,55025,Confirmed,Male,Suppressed,2
1992,WI,55025,Confirmed,Female,20+,9
1992,WI,55025,Confirmed,Female,Suppressed,2
1992,WI,55027,Confirmed,Female,20+,5
1992,WI,55027,Confirmed,Suppressed,20+,4
